Byline,Type,Value,Attribute
Daniel Hou,persName,"Mrs. MacLean",Maclean
Daniel Hou,eventName,"the person appeared to her to resemble someone in a motion-picture get-up or in makeup",murder
Daniel Hou,persName,"her",Maclean
Daniel Hou,persName,"witness",witness
Daniel Hou,eventName,"two men at Taylor's door two nights before the murder at about 6:00 P.M.",murder
Daniel Hou,persName,"two men",murderer
Daniel Hou,placeName,"at Taylor's door",residence
Daniel Hou,persName,"tall men",murderer
Daniel Hou,persName,"Kirkwood",Kirkwood
Daniel Hou,persName,"a very small man",murderer
